code,region,name,exchange,type
FJET,US,Starfighters Space Inc. Common Stock,AMEX,stock
FLYX,US,flyExclusive Inc. Class A Common Stock,AMEX,stock
FSI,US,Flexible Solutions International Inc. Common Stock (CDA),AMEX,stock
FSP,US,Franklin Street Properties Corp. Common Stock,AMEX,stock
FTF,US,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,AMEX,stock
FURY,US,Fury Gold Mines Limited Common Shares,AMEX,stock
GAU,US,Galiano Gold Inc.,AMEX,stock
GBR,US,New Concept Energy Inc Common Stock,AMEX,stock
GCDT,US,Green Circle Decarbonize Technology Limited Ordinary Shares,AMEX,stock
GENC,US,Gencor Industries Inc. Common Stock,AMEX,stock
GGN,US,GAMCO Global Gold Natural Resources & Income Trust,AMEX,stock
GGN^B,US,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,AMEX,stock
GLDG,US,GoldMining Inc. Common Shares,AMEX,stock
GLO,US,Clough Global Opportunities Fund Common Stock,AMEX,stock
GLQ,US,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,AMEX,stock
GLU,US,Gabelli Global Utility Common Shares of Beneficial Ownership,AMEX,stock
GLU^B,US,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,AMEX,stock
GLV,US,Clough Global Dividend and Income Fund Common Shares of beneficial interest,AMEX,stock
GMTL,US,Guardian Metal Resources PLC ADS,AMEX,stock
GNS,US,Genius Group Limited Ordinary Shares,AMEX,stock
GORO,US,Gold Resource Corporation Common Stock,AMEX,stock
GPUS,US,Hyperscale Data Inc. Common Stock,AMEX,stock
GPUS^D,US,Hyperscale Data Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,AMEX,stock
GRAF,US,Graf Global Corp. Class A ordinary shares,AMEX,stock
GRF,US,Eagle Capital Growth Fund Inc. Common Stock,AMEX,stock
GRO,US,Brazil Potash Corp. Common Shares,AMEX,stock
GROY,US,Gold Royalty Corp. Common Shares,AMEX,stock
GTE,US,Gran Tierra Energy Inc. Common Stock,AMEX,stock
HCWC,US,Healthy Choice Wellness Corp. Class A Common Stock,AMEX,stock
HSLV,US,Highlander Silver Corp. Common Shares,AMEX,stock
HYLN,US,Hyliion Holdings Corp. Class A Common Stock,AMEX,stock
IAF,US,abrdn Australia Equity Fund Inc. Common Stock,AMEX,stock
IAUX,US,i-80 Gold Corp. Common Shares,AMEX,stock
IBO,US,Impact BioMedical Inc. Common Stock,AMEX,stock
IDR,US,Idaho Strategic Resources Inc. Common Stock,AMEX,stock
IE,US,Ivanhoe Electric Inc. Common Stock,AMEX,stock
IGC,US,IGC Pharma Inc. Common Stock,AMEX,stock
IHT,US,InnSuites Hospitality Trust Shares of Beneficial Interest,AMEX,stock
IMO,US,Imperial Oil Limited Common Stock,AMEX,stock
INDO,US,Indonesia Energy Corporation Limited Ordinary Shares,AMEX,stock
INFU,US,InfuSystems Holdings Inc. Common Stock,AMEX,stock
INLX,US,Intellinetics Inc. Common Stock,AMEX,stock
INTT,US,inTest Corporation Common Stock,AMEX,stock
INUV,US,Inuvo Inc.,AMEX,stock
IOR,US,Income Opportunity Realty Investors Inc. Common Stock,AMEX,stock
ISOU,US,IsoEnergy Ltd. Common Shares,AMEX,stock
ITP,US,IT Tech Packaging Inc. Common Stock,AMEX,stock
ITRG,US,Integra Resources Corp. Common Shares,AMEX,stock
JAGU,US,Jaguar Uranium Corp. Class A Common Shares,AMEX,stock
JOB,US,GEE Group Inc. Common Stock,AMEX,stock
KAPA,US,Kairos Pharma Ltd. Common Stock,AMEX,stock
KNRX,US,KNOREX LTD. Class A Ordinary Shares,AMEX,stock
KULR,US,KULR Technology Group Inc. Common Stock,AMEX,stock
LCTX,US,Lineage Cell Therapeutics Inc. Common Stock,AMEX,stock
LEGO,US,Legato Merger Corp. IV Ordinary Shares,AMEX,stock
LEGT,US,Legato Merger Corp. III Ordinary Shares,AMEX,stock
LGCY,US,Legacy Education Inc. Common Stock,AMEX,stock
LGL,US,LGL Group Inc. (The) Common Stock,AMEX,stock
LGPS,US,LogProstyle Inc. Common Shares,AMEX,stock
LODE,US,Comstock Inc. Common Stock,AMEX,stock
LPA,US,Logistic Properties of the Americas Ordinary Shares,AMEX,stock
LSF,US,Laird Superfood Inc. Common Stock,AMEX,stock
