code,region,name,exchange,type
00154,HK,BE ENVIRONMENT,HKEX,stock
00156,HK,LIPPO CHINA RES,HKEX,stock
00157,HK,NATURAL BEAUTY,HKEX,stock
00158,HK,MELBOURNE ENT,HKEX,stock
00159,HK,BROCKMAN MINING,HKEX,stock
00160,HK,HON KWOK LAND,HKEX,stock
00162,HK,CENTURY GINWA,HKEX,stock
00163,HK,EMPEROR INT'L,HKEX,stock
00164,HK,CHINA BAOLI TEC,HKEX,stock
00165,HK,CHINA EB LTD,HKEX,stock
00166,HK,NEW TIMES CORP,HKEX,stock
00167,HK,IDT INT'L,HKEX,stock
00168,HK,TSINGTAO BREW,HKEX,stock
00169,HK,WANDA HOTEL DEV,HKEX,stock
00171,HK,SILVER GRANT,HKEX,stock
00173,HK,K. WAH INT'L,HKEX,stock
00174,HK,GEMINI INV,HKEX,stock
00175,HK,GEELY AUTO,HKEX,stock
00176,HK,SUPERACTIVE GP,HKEX,stock
00177,HK,JIANGSU EXPRESS,HKEX,stock
00178,HK,SA SA INT'L,HKEX,stock
00179,HK,JOHNSON ELEC H,HKEX,stock
00180,HK,KADER HOLDINGS,HKEX,stock
00181,HK,FUJIAN HOLDINGS,HKEX,stock
00182,HK,CONCORD NE,HKEX,stock
00183,HK,WINFULL GP,HKEX,stock
00184,HK,KECK SENG INV,HKEX,stock
00185,HK,ZENSUN ENT,HKEX,stock
00186,HK,NIMBLE HOLDINGS,HKEX,stock
00187,HK,JINGCHENG MAC,HKEX,stock
00188,HK,SUNWAH KINGSWAY,HKEX,stock
00189,HK,DONGYUE GROUP,HKEX,stock
00191,HK,LAI SUN INT'L,HKEX,stock
00193,HK,CAPITAL ESTATE,HKEX,stock
00194,HK,LIU CHONG HING,HKEX,stock
00195,HK,GREENTECH INTL,HKEX,stock
00196,HK,HONGHUA GROUP,HKEX,stock
00197,HK,HENG TAI,HKEX,stock
00199,HK,ITC PROPERTIES,HKEX,stock
00200,HK,MELCO INT'L DEV,HKEX,stock
00201,HK,MAGNIFICENT,HKEX,stock
00202,HK,EVERCHINA INT'L,HKEX,stock
00205,HK,BFB HEALTH,HKEX,stock
00206,HK,CM-ENERGY,HKEX,stock
00209,HK,WINSHINE SCI,HKEX,stock
00210,HK,DAPHNE INT'L,HKEX,stock
00211,HK,STYLAND HOLD,HKEX,stock
00212,HK,NANYANG HOLD,HKEX,stock
00213,HK,NATIONAL ELEC H,HKEX,stock
00214,HK,ASIA ORIENT,HKEX,stock
00215,HK,HUTCHTEL HK,HKEX,stock
00216,HK,CHINNEY INV,HKEX,stock
00217,HK,CHINA CHENGTONG,HKEX,stock
00218,HK,SWHYHK,HKEX,stock
00219,HK,SHUNHO PROPERTY,HKEX,stock
00220,HK,U-PRESID CHINA,HKEX,stock
00222,HK,MIN XIN HOLD,HKEX,stock
00223,HK,ELIFE HLDGS,HKEX,stock
00224,HK,PIONEER GLOBAL,HKEX,stock
00225,HK,POKFULAM,HKEX,stock
00227,HK,FIRST SHANGHAI,HKEX,stock
00228,HK,CHINA ENERGY,HKEX,stock
00229,HK,RAYMOND IND,HKEX,stock
00232,HK,CON AERO TECH,HKEX,stock
00234,HK,NEW CENTURY GP,HKEX,stock
00235,HK,CSC HOLDINGS,HKEX,stock
00236,HK,SAN MIGUEL HK,HKEX,stock
00237,HK,SAFETY GODOWN,HKEX,stock
00239,HK,PAK FAH YEOW,HKEX,stock
00240,HK,BUILD KING HOLD,HKEX,stock
00241,HK,ALI HEALTH,HKEX,stock
00242,HK,SHUN TAK HOLD,HKEX,stock
00243,HK,QPL INT'L,HKEX,stock
00244,HK,SINCERE,HKEX,stock
00245,HK,CHINA VERED FIN,HKEX,stock
00247,HK,TST PROPERTIES,HKEX,stock
00248,HK,HKC INT'L HOLD,HKEX,stock
00251,HK,SEA HOLDINGS,HKEX,stock
00252,HK,SE ASIA PPT,HKEX,stock
00253,HK,SHUNHO HOLDINGS,HKEX,stock
00254,HK,NUR HOLDINGS,HKEX,stock
00255,HK,LUNG KEE,HKEX,stock
00256,HK,CITYCHAMP,HKEX,stock
00257,HK,EB ENVIRONMENT,HKEX,stock
00258,HK,TOMSON GROUP,HKEX,stock
00259,HK,YEEBO (INT'L H),HKEX,stock
00261,HK,GBA HOLDINGS,HKEX,stock
00262,HK,DESON DEV INT'L,HKEX,stock
00264,HK,CN INT DEV CORP,HKEX,stock
00265,HK,GANGYU SERVICES,HKEX,stock
00266,HK,TIAN TECK LAND,HKEX,stock
00267,HK,CITIC,HKEX,stock
00268,HK,KINGDEE INT'L,HKEX,stock
00269,HK,CRTG,HKEX,stock
00270,HK,GUANGDONG INV,HKEX,stock
00271,HK,ASIASEC PPT,HKEX,stock
00272,HK,SHUI ON LAND,HKEX,stock
00274,HK,RA SILK ROAD,HKEX,stock
00276,HK,MONGOLIA ENERGY,HKEX,stock
00277,HK,TERN PROPERTIES,HKEX,stock
00279,HK,ARTA TECHFIN,HKEX,stock
00280,HK,KING FOOK HOLD,HKEX,stock
00285,HK,BYD ELECTRONIC,HKEX,stock
00286,HK,AIDIGONG,HKEX,stock
00287,HK,WINFAIR INV,HKEX,stock
00288,HK,WH GROUP,HKEX,stock
00289,HK,WING ON CO,HKEX,stock
00290,HK,GOFINTECH QUANT,HKEX,stock
00291,HK,CHINA RES BEER,HKEX,stock
00293,HK,CATHAY PAC AIR,HKEX,stock
00294,HK,YANGTZEKIANG,HKEX,stock
00295,HK,KONG SUN HOLD,HKEX,stock
00296,HK,EMPEROR E HOTEL,HKEX,stock
00297,HK,SINOFERT,HKEX,stock
00298,HK,CHUANG'S CHINA,HKEX,stock
00299,HK,GLORY SUN LAND,HKEX,stock
00300,HK,MIDEA GROUP,HKEX,stock
00301,HK,SANVO CHEMICALS,HKEX,stock
00302,HK,CMGE,HKEX,stock
00303,HK,VTECH HOLDINGS,HKEX,stock
00305,HK,WULING MOTORS,HKEX,stock
00306,HK,KWOON CHUNG BUS,HKEX,stock
00308,HK,CHINA TRAVEL HK,HKEX,stock
00309,HK,XH NEWS MEDIA,HKEX,stock
00311,HK,LUEN THAI,HKEX,stock
00312,HK,SHIRBLE STORE,HKEX,stock
00313,HK,RICHLY FIELD,HKEX,stock
00314,HK,SIPAI HEALTH,HKEX,stock
00315,HK,SMARTONE TELE,HKEX,stock
00316,HK,OOIL,HKEX,stock
00317,HK,COMEC,HKEX,stock
00318,HK,VONGROUP,HKEX,stock
00320,HK,COMPUTIME,HKEX,stock
00321,HK,TEXWINCA HOLD,HKEX,stock
00322,HK,TINGYI,HKEX,stock
00323,HK,MAANSHAN IRON,HKEX,stock
00325,HK,BLOKS,HKEX,stock
00326,HK,CHINA STAR ENT,HKEX,stock
00327,HK,PAX GLOBAL,HKEX,stock
00328,HK,ALCO HOLDINGS,HKEX,stock
00329,HK,OCI INTL,HKEX,stock
00330,HK,ESPRIT HOLDINGS,HKEX,stock
00331,HK,FSE LIFESTYLE,HKEX,stock
00332,HK,YUANHENG GAS,HKEX,stock
00333,HK,TOP FORM INT'L,HKEX,stock
00334,HK,CH DISPLAY OPT,HKEX,stock
00335,HK,UPBEST GROUP,HKEX,stock
00336,HK,HUABAO INTL,HKEX,stock
00337,HK,GREENLAND HK,HKEX,stock
00338,HK,SHANGHAI PECHEM,HKEX,stock
00340,HK,TONGGUAN GOLD,HKEX,stock
00341,HK,CAFE DE CORAL H,HKEX,stock
00343,HK,CULTURECOM HOLD,HKEX,stock
00345,HK,VITASOY INT'L,HKEX,stock
00346,HK,YANCHANG PETRO,HKEX,stock
00347,HK,ANGANG STEEL,HKEX,stock
00348,HK,CHINAHEALTHWISE,HKEX,stock
